rang,a,b,a+b,a-b,ratio_a_b,a_pair,b_pair,chiffres
96,59,14,73,45,4.2143,False,True,50
97,62,12,74,50,5.1667,True,True,50
98,37,38,75,-1,0.9737,False,True,60
99,3,73,76,-70,0.0411,False,False,72
100,24,53,77,-29,0.4528,True,False,66
101,6,73,79,-67,0.0822,True,False,74
102,12,67,79,-55,0.1791,True,False,72
103,45,34,79,11,1.3235,False,True,61
104,64,15,79,49,4.2667,True,False,54
105,20,60,80,-40,0.3333,True,True,70
106,40,40,80,0,1.0,True,True,63
107,61,20,81,41,3.05,False,True,57
108,74,8,82,66,9.25,True,True,53
109,11,72,83,-61,0.1528,False,True,76
110,36,47,83,-11,0.766,True,False,68
111,62,21,83,41,2.9524,True,False,59
112,71,12,83,59,5.9167,False,True,55
113,49,35,84,14,1.4,False,False,64
114,72,12,84,60,6.0,True,True,56
115,33,52,85,-19,0.6346,False,True,71
116,51,34,85,17,1.5,False,True,64
117,76,10,86,66,7.6,True,True,56
118,80,6,86,74,13.3333,True,True,55
119,7,81,88,-74,0.0864,False,False,83
120,60,29,89,31,2.069,True,False,65
121,78,12,90,66,6.5,True,True,60
122,88,3,91,85,29.3333,True,False,57
123,14,78,92,-64,0.1795,True,True,84
124,37,56,93,-19,0.6607,False,True,77
125,69,24,93,45,2.875,False,True,66
126,92,1,93,91,92.0,True,False,57
127,37,57,94,-20,0.6491,False,False,78
128,78,16,94,62,4.875,True,True,63
129,81,13,94,68,6.2308,False,False,62
130,87,7,94,80,12.4286,False,False,60
131,47,48,95,-1,0.9792,False,True,75
